,age,marital
0,58,married
1,44,single
2,33,married
3,47,married
4,33,single
5,35,married
6,28,single
7,42,divorced
8,58,married
9,43,single
10,41,divorced
11,29,single
12,53,married
13,58,married
14,57,married
15,51,married
16,45,single
17,57,married
18,60,married
19,33,married
20,28,married
21,56,married
22,32,single
23,25,married
24,40,married
25,44,married
26,39,single
27,52,married
28,46,single
29,36,single
30,57,married
31,49,married
32,60,married
33,59,married
34,51,married
35,57,divorced
36,25,married
37,53,married
38,36,divorced
39,37,single
40,44,divorced
41,50,married
42,60,married
43,54,married
44,58,married
45,36,single
46,58,married
47,44,married
48,55,divorced
49,29,single
50,54,married
51,48,divorced
52,32,married
53,42,single
54,24,single
55,38,single
56,38,single
57,47,married
58,40,single
59,46,married
60,32,married
61,53,divorced
62,57,married
63,33,married
64,49,married
65,51,married
66,60,married
67,59,divorced
68,55,married
69,35,single
70,57,married
71,31,married
72,54,married
73,55,married
74,43,married
75,53,married
76,44,married
77,55,divorced
78,49,divorced
79,55,divorced
80,45,single
81,47,divorced
82,42,single
83,59,married
84,46,married
85,51,married
86,56,married
87,41,married
88,46,divorced
89,57,married
90,42,single
91,30,married
92,60,married
93,60,married
94,57,divorced
95,36,married
96,55,married
97,60,married
98,39,married
99,46,married
100,44,married
101,53,married
102,52,married
103,59,married
104,27,single
105,44,married
106,47,married
107,34,married
108,59,single
109,45,married
110,29,divorced
111,46,divorced
112,56,married
113,36,married
114,59,divorced
115,44,married
116,41,married
117,33,single
118,59,divorced
119,57,married
120,56,divorced
121,51,married
122,34,married
123,43,married
124,52,married
125,33,single
126,29,single
127,34,married
128,31,married
129,55,married
130,55,married
131,32,single
132,38,single
133,55,single
134,28,single
135,23,married
136,32,single
137,43,single
138,32,married
139,46,married
140,53,divorced
141,34,single
142,57,married
143,37,married
144,59,married
145,33,married
146,56,divorced
147,48,married
148,43,married
149,54,married
150,51,married
151,26,single
152,40,married
153,39,married
154,50,married
155,41,married
156,51,married
157,60,divorced
158,52,married
159,48,married
160,48,married
161,39,single
162,47,single
163,40,married
164,45,married
165,26,single
166,52,married
167,54,married
168,54,married
169,50,married
170,35,married
171,44,married
172,53,married
173,35,single
174,60,divorced
175,53,divorced
176,48,married
177,34,married
178,54,married
179,51,married
180,31,married
181,35,divorced
182,35,married
183,38,married
184,36,married
185,58,married
186,40,divorced
187,54,married
188,34,single
189,31,single
190,51,married
191,33,married
192,55,married
193,42,married
194,34,married
195,33,single
196,38,married
197,50,divorced
198,43,married
199,61,divorced
200,47,married
201,48,married
202,44,married
203,35,single
204,35,married
205,50,married
206,41,married
207,41,married
208,39,single
209,42,married
210,38,married
211,53,married
212,59,divorced
213,36,married
214,54,married
215,40,married
216,47,married
217,53,married
218,46,married
219,39,married
220,40,married
221,28,married
222,35,divorced
223,55,married
224,43,divorced
225,48,married
226,58,married
227,33,single
228,36,married
229,53,divorced
230,47,married
231,31,married
232,57,married
233,53,married
234,55,married
235,45,married
236,53,divorced
237,37,married
238,44,divorced
239,49,divorced
240,46,married
241,43,married
242,38,married
243,43,married
244,49,married
245,42,married
246,22,single
247,40,married
