,y,loan,bank_arg1
0,no,no,0.15
1,no,no,0.17
2,no,yes,0.38
3,no,no,0.15
4,no,no,0.17
5,no,no,0.12
6,no,yes,0.3
7,no,no,0.17
8,no,no,0.11
9,no,no,0.1
10,no,no,0.1
11,no,no,0.18
12,no,no,0.2
13,no,no,0.18
14,no,no,0.17
15,no,no,0.2
16,no,no,0.16
17,no,no,0.11
18,no,no,0.2
19,no,no,0.1
20,no,yes,0.3
21,no,no,0.12
22,no,yes,0.31
23,no,no,0.15
24,no,yes,0.34
25,no,no,0.17
26,no,no,0.16
27,no,yes,0.31
28,no,no,0.11
29,no,yes,0.39
30,no,yes,0.35
31,no,no,0.13
32,no,yes,0.35
33,no,no,0.16
34,no,no,0.13
35,no,no,0.13
36,no,no,0.13
37,no,no,0.18
38,no,no,0.18
39,no,no,0.16
40,no,no,0.11
41,no,no,0.17
42,no,no,0.14
43,no,no,0.18
44,no,no,0.2
45,no,no,0.18
46,no,no,0.12
47,no,no,0.17
48,no,no,0.12
49,no,no,0.18
50,no,no,0.12
51,no,no,0.18
52,no,no,0.14
53,no,no,0.19
54,no,yes,0.35
55,no,yes,0.32
56,no,no,0.19
57,no,no,0.18
58,no,no,0.16
59,no,no,0.14
60,no,no,0.19
61,no,no,0.13
62,no,no,0.11
63,no,no,0.19
64,no,no,0.12
65,no,no,0.1
66,no,no,0.14
67,no,no,0.1
68,no,no,0.11
69,no,yes,0.3
70,no,yes,0.33
71,no,yes,0.32
72,no,yes,0.37
73,no,no,0.16
74,no,no,0.19
75,no,no,0.19
76,no,yes,0.33
77,no,no,0.18
78,no,yes,0.34
79,no,no,0.16
80,no,no,0.2
81,no,no,0.12
82,no,no,0.2
83,yes,no,0.54
84,no,yes,0.34
85,no,no,0.13
86,yes,no,0.54
87,yes,no,0.58
88,no,yes,0.38
89,no,no,0.2
90,no,no,0.19
91,no,yes,0.36
92,no,no,0.15
93,no,no,0.12
94,no,no,0.12
95,no,yes,0.38
96,no,no,0.12
97,no,no,0.16
98,no,no,0.14
99,no,no,0.15
100,no,no,0.2
101,no,no,0.18
102,no,no,0.12
103,no,no,0.13
104,no,no,0.14
105,no,no,0.1
106,no,no,0.12
107,no,yes,0.39
108,no,no,0.11
109,no,no,0.1
110,no,no,0.2
111,no,no,0.13
112,no,yes,0.38
113,no,no,0.2
114,no,no,0.19
115,no,no,0.18
116,no,no,0.16
117,no,no,0.16
118,no,no,0.2
119,no,no,0.14
120,no,no,0.15
121,no,no,0.16
122,no,no,0.18
123,no,yes,0.37
124,no,yes,0.38
125,no,no,0.2
126,no,yes,0.34
127,no,yes,0.31
128,no,no,0.18
129,yes,no,0.55
130,no,no,0.19
131,no,no,0.17
132,no,no,0.1
133,no,yes,0.39
134,no,no,0.12
135,no,no,0.13
136,no,no,0.1
137,no,no,0.19
