,bank_arg1,bank_arg2
0,0.15,0.18
1,0.17,0.13
2,0.38,0.2
3,0.15,0.13
4,0.17,0.12
5,0.12,0.18
6,0.3,0.25
7,0.17,0.1
8,0.11,0.15
9,0.1,0.2
10,0.1,0.12
11,0.18,0.1
12,0.2,0.19
13,0.18,0.17
14,0.17,0.12
15,0.2,0.17
16,0.16,0.18
17,0.11,0.19
18,0.2,0.12
19,0.1,0.15
20,0.3,0.2
21,0.12,0.1
22,0.31,0.22
23,0.15,0.19
24,0.34,0.3
25,0.17,0.1
26,0.16,0.17
27,0.31,0.23
28,0.11,0.11
29,0.39,0.29
30,0.35,0.28
31,0.13,0.13
32,0.35,0.22
33,0.16,0.2
34,0.13,0.16
35,0.13,0.18
36,0.13,0.12
37,0.18,0.1
38,0.18,0.13
39,0.16,0.15
40,0.11,0.12
41,0.17,0.14
42,0.14,0.13
43,0.18,0.13
44,0.2,0.12
45,0.18,0.19
46,0.12,0.14
47,0.17,0.1
48,0.12,0.2
49,0.18,0.13
50,0.12,0.12
51,0.18,0.19
52,0.14,0.18
53,0.19,0.18
54,0.35,0.26
55,0.32,0.26
56,0.19,0.11
57,0.18,0.14
58,0.16,0.2
59,0.14,0.15
60,0.19,0.19
61,0.13,0.19
62,0.11,0.15
63,0.19,0.15
64,0.12,0.15
65,0.1,0.13
66,0.14,0.16
67,0.1,0.1
68,0.11,0.12
69,0.3,0.27
70,0.33,0.27
71,0.32,0.28
72,0.37,0.29
73,0.16,0.1
74,0.19,0.1
75,0.19,0.12
76,0.33,0.29
77,0.18,0.17
78,0.34,0.28
79,0.16,0.16
80,0.2,0.16
81,0.12,0.1
82,0.2,0.12
83,0.54,0.39
84,0.34,0.28
85,0.13,0.13
86,0.54,0.4
87,0.58,0.33
88,0.38,0.29
89,0.2,0.13
90,0.19,0.16
91,0.36,0.25
92,0.15,0.18
93,0.12,0.19
94,0.12,0.12
95,0.38,0.22
96,0.12,0.12
97,0.16,0.18
98,0.14,0.15
99,0.15,0.13
100,0.2,0.16
101,0.18,0.1
102,0.12,0.17
103,0.13,0.15
104,0.14,0.18
105,0.1,0.11
106,0.12,0.19
107,0.39,0.24
108,0.11,0.1
109,0.1,0.12
110,0.2,0.12
111,0.13,0.13
112,0.38,0.24
113,0.2,0.1
114,0.19,0.17
115,0.18,0.19
116,0.16,0.2
117,0.16,0.17
118,0.2,0.1
119,0.14,0.1
120,0.15,0.2
121,0.16,0.18
122,0.18,0.13
123,0.37,0.26
124,0.38,0.25
125,0.2,0.16
126,0.34,0.26
127,0.31,0.2
128,0.18,0.1
129,0.55,0.32
130,0.19,0.12
131,0.17,0.19
132,0.1,0.17
133,0.39,0.26
134,0.12,0.13
135,0.13,0.18
136,0.1,0.1
137,0.19,0.16
138,0.14,0.14
139,0.14,0.17
140,0.17,0.1
141,0.11,0.17
142,0.12,0.17
143,0.15,0.2
144,0.15,0.2
145,0.13,0.16
146,0.12,0.19
147,0.1,0.13
148,0.14,0.1
149,0.11,0.12
150,0.11,0.11
151,0.17,0.13
152,0.1,0.16
153,0.16,0.15
154,0.11,0.19
155,0.19,0.14
156,0.2,0.18
157,0.16,0.13
158,0.16,0.15
159,0.19,0.18
160,0.15,0.15
161,0.11,0.16
162,0.1,0.11
163,0.1,0.2
164,0.1,0.12
165,0.1,0.1
166,0.2,0.2
167,0.1,0.17
168,0.6,0.4
169,0.14,0.19
170,0.17,0.19
171,0.3,0.24
172,0.18,0.1
173,0.2,0.14
174,0.13,0.1
175,0.19,0.12
176,0.16,0.16
177,0.19,0.2
178,0.13,0.14
179,0.2,0.13
180,0.17,0.14
181,0.18,0.1
182,0.13,0.19
183,0.1,0.1
184,0.1,0.18
185,0.19,0.2
186,0.1,0.1
187,0.17,0.14
188,0.37,0.23
189,0.13,0.12
190,0.11,0.12
191,0.1,0.14
192,0.16,0.13
193,0.13,0.18
194,0.2,0.1
195,0.11,0.15
196,0.1,0.15
197,0.38,0.22
198,0.13,0.14
199,0.18,0.13
200,0.16,0.1
201,0.19,0.1
202,0.16,0.11
203,0.16,0.12
204,0.17,0.13
205,0.13,0.12
206,0.4,0.2
207,0.19,0.15
208,0.17,0.19
209,0.12,0.16
210,0.18,0.1
211,0.19,0.19
212,0.13,0.17
213,0.17,0.13
214,0.11,0.14
215,0.17,0.1
216,0.1,0.14
217,0.11,0.17
218,0.18,0.17
219,0.39,0.25
220,0.13,0.19
221,0.18,0.17
222,0.16,0.15
223,0.39,0.26
224,0.19,0.14
225,0.11,0.14
226,0.1,0.17
227,0.16,0.12
228,0.15,0.19
229,0.17,0.11
230,0.14,0.12
231,0.18,0.12
232,0.16,0.17
233,0.13,0.11
234,0.13,0.15
235,0.19,0.13
236,0.14,0.14
237,0.19,0.16
238,0.19,0.13
239,0.32,0.24
