,housing,balance,y
0,yes,2143,no
1,yes,29,no
2,yes,2,no
3,yes,1506,no
4,no,1,no
5,yes,231,no
6,yes,447,no
7,yes,2,no
8,yes,121,no
9,yes,593,no
10,yes,270,no
11,yes,390,no
12,yes,6,no
13,yes,71,no
14,yes,162,no
15,yes,229,no
16,yes,13,no
17,yes,52,no
18,yes,60,no
19,yes,0,no
20,yes,723,no
21,yes,779,no
22,yes,23,no
23,yes,50,no
24,yes,0,no
25,yes,-372,no
26,yes,255,no
27,yes,113,no
28,yes,-246,no
29,yes,265,no
30,no,839,no
31,yes,378,no
32,yes,39,no
33,yes,0,no
34,yes,10635,no
35,yes,63,no
36,yes,-7,no
37,no,-3,no
38,yes,506,no
39,yes,0,no
40,yes,2586,no
41,yes,49,no
42,yes,104,no
43,yes,529,no
44,yes,96,no
45,yes,-171,no
46,yes,-364,no
47,yes,0,no
48,no,0,no
49,yes,0,no
50,yes,1291,no
51,yes,-244,no
52,yes,0,no
53,yes,-76,no
54,yes,-103,no
55,no,243,no
56,yes,424,no
57,yes,306,no
58,yes,24,no
59,yes,179,no
60,yes,0,no
61,yes,989,no
62,yes,249,no
63,yes,790,no
64,yes,154,no
65,yes,6530,no
66,no,100,no
67,yes,59,no
68,yes,1205,no
69,yes,12223,no
70,yes,5935,no
71,yes,25,no
72,yes,282,no
73,yes,23,no
74,yes,1937,no
75,yes,384,no
76,no,582,no
77,no,91,no
78,yes,0,no
79,yes,1,no
80,yes,206,no
81,no,164,no
82,yes,690,no
83,yes,2343,yes
84,yes,137,no
85,yes,173,no
86,no,45,yes
87,yes,1270,yes
88,yes,16,no
89,yes,486,no
90,no,50,no
91,yes,152,no
92,yes,290,no
93,yes,54,no
94,no,-37,no
95,yes,101,no
96,no,383,no
97,yes,81,no
98,yes,0,no
99,yes,229,no
100,yes,-674,no
101,no,90,no
102,yes,128,no
103,yes,179,no
104,yes,0,no
105,yes,54,no
106,yes,151,no
107,no,61,no
108,yes,30,no
109,yes,523,no
110,yes,31,no
111,no,79,no
112,yes,-34,no
113,yes,448,no
114,yes,81,no
115,yes,144,no
116,yes,351,no
117,yes,-67,no
118,no,262,no
119,no,0,no
120,yes,56,no
121,yes,26,no
122,yes,3,no
123,yes,41,no
124,no,7,no
125,yes,105,no
126,yes,818,no
127,yes,-16,no
128,yes,0,no
129,yes,2476,yes
130,no,1185,no
131,yes,217,no
132,yes,1685,no
133,yes,802,no
134,yes,0,no
135,yes,94,no
136,yes,0,no
137,no,0,no
138,yes,517,no
139,yes,265,no
140,yes,947,no
141,yes,3,no
142,no,42,no
143,yes,37,no
144,yes,57,no
145,yes,22,no
146,yes,8,no
147,yes,293,no
148,yes,3,no
149,yes,348,no
150,yes,-19,no
151,yes,0,no
