,loan,balance,y,bank_arg1
0,no,2143,no,0.15
1,no,29,no,0.17
2,yes,2,no,0.38
3,no,1506,no,0.15
4,no,1,no,0.17
5,no,231,no,0.12
6,yes,447,no,0.3
7,no,2,no,0.17
8,no,121,no,0.11
9,no,593,no,0.1
10,no,270,no,0.1
11,no,390,no,0.18
12,no,6,no,0.2
13,no,71,no,0.18
14,no,162,no,0.17
15,no,229,no,0.2
16,no,13,no,0.16
17,no,52,no,0.11
18,no,60,no,0.2
19,no,0,no,0.1
20,yes,723,no,0.3
21,no,779,no,0.12
22,yes,23,no,0.31
23,no,50,no,0.15
24,yes,0,no,0.34
25,no,-372,no,0.17
26,no,255,no,0.16
27,yes,113,no,0.31
28,no,-246,no,0.11
29,yes,265,no,0.39
30,yes,839,no,0.35
31,no,378,no,0.13
32,yes,39,no,0.35
33,no,0,no,0.16
34,no,10635,no,0.13
35,no,63,no,0.13
36,no,-7,no,0.13
37,no,-3,no,0.18
38,no,506,no,0.18
39,no,0,no,0.16
40,no,2586,no,0.11
41,no,49,no,0.17
42,no,104,no,0.14
43,no,529,no,0.18
44,no,96,no,0.2
45,no,-171,no,0.18
46,no,-364,no,0.12
47,no,0,no,0.17
48,no,0,no,0.12
49,no,0,no,0.18
50,no,1291,no,0.12
51,no,-244,no,0.18
52,no,0,no,0.14
53,no,-76,no,0.19
54,yes,-103,no,0.35
55,yes,243,no,0.32
56,no,424,no,0.19
57,no,306,no,0.18
58,no,24,no,0.16
59,no,179,no,0.14
60,no,0,no,0.19
61,no,989,no,0.13
62,no,249,no,0.11
63,no,790,no,0.19
64,no,154,no,0.12
65,no,6530,no,0.1
66,no,100,no,0.14
67,no,59,no,0.1
68,no,1205,no,0.11
69,yes,12223,no,0.3
70,yes,5935,no,0.33
71,yes,25,no,0.32
72,yes,282,no,0.37
73,no,23,no,0.16
74,no,1937,no,0.19
75,no,384,no,0.19
76,yes,582,no,0.33
77,no,91,no,0.18
78,yes,0,no,0.34
79,no,1,no,0.16
80,no,206,no,0.2
81,no,164,no,0.12
82,no,690,no,0.2
83,no,2343,yes,0.54
84,yes,137,no,0.34
85,no,173,no,0.13
86,no,45,yes,0.54
87,no,1270,yes,0.58
88,yes,16,no,0.38
89,no,486,no,0.2
90,no,50,no,0.19
91,yes,152,no,0.36
92,no,290,no,0.15
93,no,54,no,0.12
94,no,-37,no,0.12
95,yes,101,no,0.38
96,no,383,no,0.12
97,no,81,no,0.16
98,no,0,no,0.14
99,no,229,no,0.15
100,no,-674,no,0.2
